eenpaerlick	eenpaarlijk	adv(gener)
sijn	zijn	v(infin)
ghenegen	genegen	V(participle,past)
maer	maar	Conj(coord)
tot	tot	Adp()
v	gij	Pron(poss)
'	?	punc(quest)
wet	wet	n(sing)
al	al	Adv(gener)
myn	mijn	Pron(poss)
begheerte	begeerte	N(sing)
staet	staan	V(fin,pres,lex)
ghy	gij	Pron(pers,2,plu)
sijt	zijn	V(fin,pres,aux_cop)
heer	heer	N(sing)
myn	mijn	Pron(poss)
beschermingh	bescherming	N(sing)
'	?	punc(quest)
aller	al	Num(indef)
wegen	weg	N(plu)
mynen	mijn	Pron(poss)
toevlucht	toevlucht	N(sing)
hebb	hebben	V(fin,pres,aux_cop)
'	?	punc(quest)
ick	ik	Pron(pers,1,sing)
tot	tot	Adp()
v	gij	Pron(pers,2,plu)
alleyn	alleen	Adv(gener)
ick	ik	Pron(pers,1,sing)
verwacht	verwachten	V(fin,pres,lex)
'	?	punc(quest)
v	gij	Pron(poss)
'	?	punc(quest)
hulpe	hulp	n(sing)
ter	te+de	Adp()+Art(def)
tydt	tijd	N(sing)
gheleghen	liggen	V(participle,past)
wyckt	wijken	V(fin,pres,lex)
van	van	Adp()
my	ik	Pron(pers,1,sing)
ghy	gij	Pron(pers,2,plu)
boose	boos	Adj()
groot	groot	Adj()
ende	en	Conj(coord)
kleyn	klein	Adj()
ick	ik	Pron(pers,1,sing)
wil	willen	V(fin,pres,aux_cop)
my	ik	Pron(pers,1,sing)
houden	houden	V(infin)
aen	aan	Adp()
godts	god	N(sing)
wet	wet	N(sing)
verheuen	verheffen	V(participle,past)
dat	dat	Conj(subord)
ick	ik	Pron(pers,1,sing)
die	die	pron(rel)
doe	toen	Adv(dem)
nae	na	adp()
sijnen	zijn	pron(poss)
wille	wil	N(sing)
reyn	rein	Adj()
onderhoudt	onderhouden	V(fin,pres,lex)
my	ik	Pron(pers,1,sing)
heere	heer	N(sing)
dat	dat	Conj(subord)
ick	ik	Pron(pers,1,sing)
magh	mogen	V(fin,pres,aux_cop)
leuen	leven	V(infin)
nae	na	Adp()
v	gij	Pron(poss)
'	?	punc(quest)
woort	woord	N(sing)
