wat	wat	pron(inter)
sal	zullen	v(fin,pres,aux_cop)
van	van	adp()
ons	wij	pron(pers,1,plu)
nv	nu	adv(dem)
zijn	zijn	v(fin,pres,aux_cop)
geseyt	zeggen	v(participle,past)
sullen	zullen	V(fin,pres,aux_cop)
wy	wij	Pron(pers,1,plu)
in	in	Adp()
sond	zonde	N(sing)
'	?	punc(quest)
blijuen	blijven	V(infin)
op	op	Adp()
dat	dat	Art(def)
genade	genade	n(sing)
wert	worden	v(fin,pres,aux_cop)
verbreyt	verbreiden	v(participle,past)
verd	ver	N(sing)
'	?	punc(quest)
wijck	wijk	n(sing)
alsulck	alzulk	pron(dem)
verstijuen	verstijven	v(infin)
want	want	conj(coord)
die	die	pron(rel)
der	de	art(def)
sond	zonde	n(sing)
'	?	punc(quest)
gestoruen	sterven	V(participle,past)
zijn	zijn	V(fin,pres,aux_cop)
hoe	hoe	Adv(inter)
sullen	zullen	V(fin,pres,aux_cop)
wy	wij	Pron(pers,1,plu)
ons	wij	Pron(pers,1,plu)
gheuen	geven	V(infin)
die	die	Pron(rel)
t	het	Art(def)
'	?	punc(quest)
aencleuen	aankleven	V(infin)
ende	en	conj(coord)
voor	voor	adp()
gods	god	N(sing)
aenschijn	aanschijn	N(sing)
in	in	adp()
de	de	Art(def)
selfde	zelfde	n(sing)
noch	noch	Conj(coord)
leuen	leven	V(infin)
vvy	gij	Pron(pers,2,plu)
zijn	zijn	Pron(poss)
ghedoopt	dopen	V(participle,past)
hier	hier	Adv(dem)
al	al	adv(gener)
te	te	Adp()
hoop	hoop	N(sing)
in	in	Adp()
christi	christus	N(prop)
doot	dood	N(sing)
'	?	punc(quest)
tzijn	het+zijn	Pron(pers,3,sing)+V(fin,pres,aux_cop)
gauen	geven	V(fin,past,lex)
oock	ook	Adv(gener)
zijn	zijn	V(fin,pres,aux_cop)
wy	wij	Pron(pers,1,plu)
met	met	Adp()
hem	hij	Pron(pers,3,sing)
door	door	adp()
den	de	Art(def)
doop	doof	N(sing)
in	in	adp()
den	de	art(def)
doot	dood	n(sing)
dan	dan	adv(gener)
begrauen	begraven	v(participle,past)
so	zo	Adv(resum)
hy	hij	Pron(pers,3,sing)
van	van	adp()
der	de	Art(def)
doot	dood	n(sing)
is	zijn	v(fin,pres,aux_cop)
verwect	verwekken	V(participle,past)
door	door	Adp()
tsvaders	het+zwaard	Art(def)+N(sing)
heerlijckhede	heerlijkheid	N(sing)
sal	zullen	V(fin,pres,aux_cop)
elck	elk	Pron(indef)
mede	mede	Adv(gener)
in	in	Adp()
nieuwicheyt	nieuwigheid	n(sing)
perfect	perfect	v(fin,pres,lex)
wandelen	wandelen	v(infin)
telcker	te+elk	Adp()+Pro(indef)
stede	stad	n(sing)
also	alzo	Adv(dem)
wy	wij	Pron(pers,1,plu)
oock	ook	Adv(gener)
werden	worden	V(fin,past,aux_cop)
gheplant	planten	V(participle,past)
in	in	adp()
een	een	art(indef)
doot	dood	adj()
dierghelijcke	desgelijk	pron(dem)+n(sing)
so	zo	adv(resum)
sullen	zullen	V(fin,pres,aux_cop)
wy	wij	Pron(pers,1,plu)
door	door	Adp()
zijn	zijn	Pron(poss)
bystant	bijstand	N(sing)
d	de	Art(def)
'	?	punc(quest)
opstandingh	opstaan	N(sing)
'	?	punc(quest)
in	in	Adp()
het	het	Art(def)
rijcke	rijk	N(sing)
ghelijck	gelijk	Adv(gener)
zijn	zijn	V(fin,pres,aux_cop)
en	en	Conj(coord)
den	de	Art(def)
mensche	mens	n(sing)
out	oud	adj()
cruycen	kruis	v(infin)
in	in	adp()
onsen	ons	pron(poss)
gronde	grond	n(sing)
telcken	te+elk	V(infin)
stonde	stond	N(sing)
op	op	adp()
dat	dat	conj(subord)
het	het	pron(pers,3,sing)
lichaem	lichaam	n(sing)
stout	stout	Adj()
hier	hier	Adv(dem)
niet	niet	Adv(neg)
meer	meer	Adv(gener)
dient	dienen	v(fin,pres,lex)
der	de	art(def)
sonde	zonde	N(sing)
ist	zijn+het	v(fin,pres,aux_cop)+pron(pers,3,sing)
dat	dat	Conj(subord)
wy	wij	Pron(pers,1,plu)
zijn	zijn	V(fin,pres,aux_cop)
ghestoruen	sterven	N(participle,past)
hier	hier	Adv(dem)
met	met	Adp()
christo	christus	N(prop)
waert	worden	V(fin,past,aux_cop)
om	om	adp()
louen	loven	v(infin)
so	zo	adv(resum)
sullen	zullen	V(fin,pres,aux_cop)
wy	wij	Pron(pers,1,plu)
door	door	Adp()
zijn	zijn	Pron(poss)
bestier	bestuur	N(sing)
met	met	Adp()
hem	hij	pron(pers,3,sing)
leuen	leven	V(infin)
hier	hier	adv(dem)
bouen	boven	Adp()
hy	hij	Pron(pers,3,sing)
is	zijn	V(fin,pres,aux_cop)
op	op	Adp()
ghewect	wekken	V(participle,past)
vander	van+de	Adp()+Art(def)
doot	dood	N(sing)
hy	hij	Pron(pers,3,sing)
en	en	Adv(neg)
sal	zullen	V(fin,pres,aux_cop)
niet	niet	adv(neg)
meer	meer	adv(gener)
steruen	sterven	v(infin)
doot	dood	n(sing)
sal	zullen	v(fin,pres,aux_cop)
deruen	derven	V(infin)
haer	haar	pron(poss)
heerschappie	heerschappij	N(sing)
groot	groot	Adj()
