wy	wij	Pron(pers,1,plu)
weten	weten	V(fin,pres,lex)
dat	dat	Conj(subord)
de	de	art(def)
wet	wet	n(sing)
van	van	adp()
gode	god	n(sing)
gheestelijck	geestelijk	adj()
is	zijn	v(fin,pres,aux_cop)
inden	in+de	adp()+art(def)
gebode	gebod	n(sing)
vleeschlijck	vleeslijk	Adj()
ben	zijn	v(fin,pres,aux_cop)
ic	ik	Pron(pers,1,sing)
sondich	zondig	adj()
van	van	adp()
state	staat	N(sing)
maer	maar	conj(coord)
in	in	adp()
de	de	Art(def)
daet	daad	N(sing)
leyt	liggen	V(fin,pres,lex)
het	het	Art(def)
geschille	geschil	N(sing)
want	want	Conj(coord)
ick	ik	Pron(pers,1,sing)
en	ne	Adv(neg)
doe	doen	Adv(dem)
niet	niet	adv(neg)
dat	dat	conj(subord)
ic	ik	pron(pers,1,sing)
wille	willen	v(fin,pres,aux_cop)
maer	maar	Conj(coord)
ick	ik	Pron(pers,1,sing)
doe	toen	Adv(dem)
altijt	altijd	Adv(gener)
dat	dat	Conj(subord)
ick	ik	Pron(pers,1,sing)
hate	haten	V(fin,pres,lex)
ist	zijn+het	V(fin,pres,aux_cop)+Pron(pers,3,sing)
dat	dat	Conj(subord)
ick	ik	Pron(pers,1,sing)
doe	toen	Adv(dem)
t	het	Art(def)
'	?	punc(quest)
eenighen	enig	Num(indef)
tijde	tijd	n(sing)
dat	dat	Conj(subord)
ick	ik	Pron(pers,1,sing)
niet	niet	Adv(neg)
en	en	Adv(neg)
wil	willen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
belijde	belijden	V(fin,past,lex)
de	de	Art(def)
wet	wet	N(sing)
voor	voor	Adp()
goet	goed	N(sing)
al	al	Adv(gener)
ben	zijn	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
clachtich	klachtig	Adj()
so	zo	Adv(resum)
doe	toen	adv(dem)
ict	het+ik	pron(pers,3,sing)+pron(pers,1,sing)
niet	niet	adv(neg)
meer	meer	num(indef)
dan	dan	conj(comp)
by	bij	adp()
name	naam	N(sing)
de	de	Art(def)
sonde	zonde	n(sing)
in	in	Adp()
mijnen	mijn	pron(poss)
lichame	lichaam	n(sing)
want	want	Conj(coord)
gheen	geen	pron(indef)
goet	goed	N(sing)
is	zijn	V(fin,pres,aux_cop)
in	in	Adp()
tvleesch	het+vlees	Art(def)+N(sing)
woonachtich	woonachtig	Adj()
ick	ik	Pron(pers,1,sing)
heb	hebben	V(fin,pres,aux_cop)
den	de	art(def)
wille	wil	n(sing)
tot	tot	adp()
veel	veel	num(indef)
dinghen	ding	N(plu)
maer	maar	Conj(coord)
om	om	Adp()
het	het	Art(def)
goet	goed	Adj()
hier	hier	Adv(dem)
te	te	Adp()
volbringhen	volbrengen	V(infin)
en	en	Conj(coord)
vind	vinden	V(fin,pres,lex)
'	?	punc(quest)
ick	ik	Pron(pers,1,sing)
niet	niet	Adv(neg)
want	want	Conj(coord)
wil	willen	V(fin,pres,aux_cop)
tot	tot	adp()
