hoe	hoe	Adv(inter)
salich	zalig	adj()
sijn	zijn	v(fin,pres,aux_cop)
die	de	Art(def)
landen	land	n(plu)
daer	daar	Adv(dem)
die	de	Art(def)
wijsheyt	wijsheid	N(sing)
regeert	regeren	v(fin,pres,lex)
alle	al	Num(indef)
cloecke	kloek	Adj()
van	van	Adp()
verstanden	verstand	N(sing)
hout	houden	V(fin,pres,lex)
sy	zij	Pron(pers,3,plu)
onghecorrumpeert	ongecorrumpeerd	Adj()
daer	daar	Adv(dem)
om	om	Adp()
draecht	dragen	V(fin,pres,lex)
sy	zij	Pron(pers,3,plu)
de	de	Art(def)
croone	kroon	N(sing)
boven	boven	Adp()
den	de	art(def)
goude	goud	N(sing)
schoone	schoon	adj()
al	al	Adv(gener)
uut	uit	Adp()
des	de	art(def)
hemels	hemel	n(sing)
troone	troon	N(sing)
is	zijn	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
ghedescendeert	descenderen	V(participle,past)
sy	zij	Pron(pers,3,plu)
was	zijn	V(fin,past,aux_cop)
voor	voor	Adp()
allen	al	Num(indef)
tyden	tijd	N(plu)
met	met	Adp()
godt	god	N(sing)
sonder	zonder	Adp()
beghin	begin	N(sing)
dafgronden	de+afgrond	Art(def)+N(plu)
om	om	Adp()
bevryden	bevrijden	V(infin)
ley	liggen	N(sing)
sy	zij	Pron(pers,3,plu)
naer	naar	Adp()
haren	haar	pron(poss)
sin	zin	N(sing)
uut	uit	Adp()
godt	god	N(sing)
is	zijn	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
gheboren	geboren	V(participle,past)
daerom	daarom	PronAdv(dem)
heeft	hebben	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
te	te	Adp()
voren	voren	Adv(gener)
die	de	Art(def)
waerheyt	waarheid	N(sing)
uutvercoren	uitverkiezen	V(participle,past)
ghebracht	brengen	V(participle,past)
ter	de+te	Adp()+Art(def)
werelt	wereld	n(sing)
in	in	Adp()
ghy	gij	Pron(pers,2,sing)
regeerders	regeerder	N(plu)
op	op	Adp()
der	de	Art(def)
eerden	aarde	n(sing)
van	van	adp()
god	god	n(sing)
daer	daar	adv(dem)
toe	toe	Adp()
ghestelt	stellen	V(participle,past)
wilt	willen	V(fin,pres,aux_cop)
die	de	Art(def)
wijsheyt	wijsheid	N(sing)
aenveerden	aanvaarden	V(fin,past,lex)
schout	schuld	N(sing)
jonste	gunst	n(prop)
ende	en	conj(coord)
ghewelt	geweld	N(sing)
soo	zo	Adv(resum)
salse	zullen+zij	V(fin,pres,aux_cop)+Pron(pers,3,sing)
u	gij	Pron(pers,2,sing)
vercloeken	verkloken	V(infin)
dus	dus	Adv(dem)
wilt	willen	V(fin,pres,aux_cop)
wel	wel	Adv(gener)
ondersoecken	onderzoeken	V(infin)
haer	haar	Pron(poss)
goddelijcke	goddelijk	Adj()
boecken	boek	n(plu)
eer	eer	conj(subord)
u	gij	Pron(pers,2,sing)
die	de	Art(def)
waerheyt	waarheid	N(sing)
melt	melden	V(fin,pres,lex)
nu	nu	Adv(dem)
dan	dan	Adv(dem)
ghy	gij	Pron(pers,2,plu)
ondersaten	onderzaat	N(plu)
leeft	leven	V(fin,pres,lex)
naer	naar	Adp()
des	de	Art(def)
wijsheyts	wijsheid	N(sing)
vermaen	vermaan	v(infin)
want	want	Conj(coord)
in	in	Adp()
quaey	kwaad	adj()
willighe	willig	Adj()
vaten	vat	N(plu)
en	en	adv(neg)
sal	zullen	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
niet	niet	Adv(neg)
ingaen	ingaan	V(infin)
dus	dus	Adv(dem)
wilt	willen	V(fin,pres,aux_cop)
dan	dan	Adv(dem)
obedieren	obediëren	V(infin)
die	die	Pron(rel)
u	gij	Pron(pers,2,sing)
wel	wel	adv(gener)
gouverneren	gouverneren	V(infin)
soo	zo	Adv(resum)
suldy	zullen+gij	V(fin,pres,aux_cop)+Pron(pers,2,sing)
prospereren	prospereren	V(infin)
en	en	Conj(coord)
trijck	het+rijk	Ar(def)+N(sing)
sal	zullen	V(fin,pres,aux_cop)
blyven	blijven	v(infin)
staen	staan	V(infin)
o	o	Interj()
wijsheyt	wijsheid	N(sing)
edel	edel	adj()
vrouwe	vrouw	N(sing)
blijft	blijven	v(fin,pres,lex)
in	in	adp()
ons	wij	Pron(poss)
princen	prins	N(plu)
raet	raad	n(sing)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
u	gij	Pron(pers,2,sing)
is	zijn	V(fin,pres,aux_cop)
ghetrouwe	getrouw	Adj()
gherust	gerust	V(participle,past)
blijft	blijven	V(fin,pres,aux_cop)
sijnen	zijn	Pron(poss)
staet	staat	N(sing)
maer	maar	Conj(coord)
en	ne	Conj(coord)
wiltse	willen+zij	V(fin,pres,lex)+Pron(pers,3,sing)
niet	niet	Adv(neg)
ghelooven	geloven	V(infin)
die	de	art(def)
slants	het+land	n(sing)
welvaert	welvaart	N(sing)
berooven	beroven	V(infin)
sy	zij	Pron(pers,3,plu)
souden	zullen	V(fin,past,aux_cop)
u	gij	Pron(pers,2,sing)
verdooven	verdoven	V(infin)
en	en	Conj(coord)
al	al	Adv(gener)
om	om	Adp()
eyghen	eigen	Adj()
baet	baat	N(sing)
per	per	N(sing)
haecht	haecht	V(fin,pres,lex)
